codigo,producto,pedidos_pos_sugerido,pedido_pos_manual,stock,ventas_2d,envios_2d,pedido_sistema,status,diferencia
722400,ETIDOL 400 CAPS. BLANDAS CAJA X 10,1,0,7,1,0,0,OK,0
722530,ETIDOL 600 CAPS. BLANDAS CAJA X 10,1,0,3,1,0,0,OK,0
722778,ETIDOL 600 CAPS. BLANDAS EXHIB. X 25 BLIST. X,1,0,24,1,0,0,OK,0
723007,ANGINOMEG SOL. SPRAY CAJA FCO. X 30 ML. c/apl,1,0,2,1,0,0,OK,0
723265,BUENAS NOCHES COMP. REC. CAJA X 30,1,0,1,1,0,1,BUFFER_MINIMO,-1
723484,PRONTA 1 COMP. CAJA X 1 COMP. EN BLIST.,1,1,1,1,0,1,BUFFER_MINIMO,0
723503,ULTRA BENGUE GEL CAJA POMO X 35 G.,1,1,0,1,0,1,CRITICO,0
723652,CIRUELAX MINITABS COMP. REC. CAJA X 10TIRAS,1,1,1,1,0,1,BUFFER_MINIMO,0
724481,TELMINEST 80 COMP. CAJA X 40,1,1,0,1,0,1,CRITICO,0
724567,TEMLOSAL 50 COMP. REC. CAJA X 100,2,0,12,2,0,0,OK,0
725074,LIPAREX 40 COMP. REC. CUADRIC. CAJA X 100,1,0,6,1,0,0,OK,0
725406,DOLGENAL 20 COMP.(NUEVO) CAJA X 30,2,1,3,2,0,0,OK,1
725440,TENSIONAL 3 D COMP. REC. CAJA X 28,1,1,0,1,0,1,CRITICO,0
726072,ACEMUK GRIP COMP. REC. CAJA X  25blister,1,0,11,1,0,0,OK,0
726539,ETIFLUGEL NARANJA SUSP. CAJA X 1 FCO. X 240 M,1,1,0,1,0,1,CRITICO,0
726542,SUERO FISIOLOGICO 0.9% EUROFARMA SOL. INY. FC,1,1,1,1,0,1,BUFFER_MINIMO,0
726655,VILOX 20 CAPS.(ACT) CAJA X 10,3,1,3,3,0,0,OK,1
727155,VITAMINA C 500 MG. LASCA COMP. CAJA X 100,1,0,16,1,0,0,OK,0
727481,INACTIVOENTERO GAS PLUS SUSP. GOT. ORALES CAJ,1,1,0,1,0,1,CRITICO,0
728499,CHOLIB 145 NG/20 MG. COMP. REC. C/PELICULA CA,1,1,0,1,0,1,CRITICO,0
728735,"EMADIAN MET 12,5/850 COMP. REC. CAJA X 60",1,1,0,1,0,1,CRITICO,0
729680,D-ONE CAPS. BLAND. CAJA X 1,1,1,1,1,0,1,BUFFER_MINIMO,0
703932,GALENTOS SOL. ORAL CAJA X 1 FCO. X 120 ML.,1,0,3,0,1,0,OK,0
711274,HIPOGLUCIN 850 MG. COMP. REC. CAJA X 30,1,0,2,0,1,0,OK,0
712934,SYSTANE SP SOL. EST. CAJA X 1 FCO. X 10 ML.,1,0,0,0,1,0,CRITICO,0
716882,CARDIOSAN 40 COMP. REC. CAJA X 30,1,0,1,0,1,0,OK,0
721364,BUDECORT SUSP. EN AEROSOL CAJA X 10 ML. (200,1,0,2,0,1,0,OK,0
722970,AVIR L GEL CAJA POMO X 15 G.,1,0,2,0,1,0,OK,0
726322,CARDATEN 20 COMP. RAN. CAJA X 10,6,0,13,0,6,0,OK,0
727767,AMOXIDAL PLUS C/12 COMP. REC. CAJA X 7,1,0,1,0,1,0,OK,0
703319,ODONTOL GESIC COMP. REC. CAJA X 10,1,0,0,0,0,0,CRITICO,0
729836,TRICOLAN OVULO VAGINAL CAJA X 10,1,0,1,0,0,0,OK,0
709020,TIOTAL COMP. REC. RAN. CAJA X 20,1,0,0,0,0,0,CRITICO,0
706730,IBUPIRAC FLEX COMP. CAJA X 10,1,0,0,0,0,0,CRITICO,0
726440,INHALAN AZ SUP. NASAL CAJA X 1 FCO. SPRAY INT,1,0,0,0,0,0,CRITICO,0
409250,PASTA LAZAR C/ MANZANILLA PRODUSIL 100 gr.,1,0,0,0,0,0,CRITICO,0
