codigo,producto,cant,costo,stock,ventas,envios,status,pedido
717608,ALKA SELTZER TAB.EF.(ACT) x comprimido,12,945,30,12,0,OK,0
717730,ACTRON 600 CAPS. BLANDAS CAJA X 10,1,17334,3,1,0,OK,0
717897,BRONAX SOL. OFT. EST. CAJA FCO. X 5 ML.,1,63700,1,1,0,BUFFER_MINIMO,1
718007,AGUA OXIGENADA 10 VOL. FCO. X 1000ML.,1,6300,1,1,0,BUFFER_MINIMO,1
718375,VEDIPAL COMP. REC. CAJA X 30,1,86663,0,1,0,CRITICO,1
718556,RESPIBEN JARABE CAJA FCO. X 120 ML.,1,25025,0,1,0,CRITICO,1
718951,TOTAL MAGNESIANO CON VITAMINA C POLV. EFERV.,4,4034,41,4,0,OK,0
718954,TOTAL MAGNESIANO STRESS POLV. EFERV. CAJA X 3,1,4353,51,1,0,OK,0
719448,CERODIL 500 COMP. REC. CAJA X 30,1,126750,0,1,0,CRITICO,1
719483,CLANZOL 20 CAPS. CAJA X 30,1,44281,1,1,0,BUFFER_MINIMO,1
719508,FLEXICAMIN B12 NF SOL. INY. CAJA X 3 AMP. X 3,1,34008,3,1,0,OK,0
719543,ANTIACID PLUS GRAN. CAJA X 30 SOB. X 5 G.,2,2914,16,2,0,OK,0
722199,GYNOGEL COMP. REC. CAJA X 28,1,51332,1,1,0,BUFFER_MINIMO,1
722229,DOLGENAL SL 30 MG.SUBLINGUALES CAJA X 8 COMP,1,27927,2,1,0,OK,0
722400,ETIDOL 400 CAPS. BLANDAS CAJA X 10,1,6586,7,1,0,OK,0
722530,ETIDOL 600 CAPS. BLANDAS CAJA X 10,1,13495,3,1,0,OK,0
722778,ETIDOL 600 CAPS. BLANDAS EXHIB. X 25 BLIST. X,1,7854,24,1,0,OK,0
723007,ANGINOMEG SOL. SPRAY CAJA FCO. X 30 ML. c/apl,1,26400,2,1,0,OK,0
723265,BUENAS NOCHES COMP. REC. CAJA X 30,1,18550,1,1,0,BUFFER_MINIMO,1
723484,PRONTA 1 COMP. CAJA X 1 COMP. EN BLIST.,1,17980,1,1,0,BUFFER_MINIMO,1
723503,ULTRA BENGUE GEL CAJA POMO X 35 G.,1,29181,0,1,0,CRITICO,1
723652,CIRUELAX MINITABS COMP. REC. CAJA X 10TIRAS,1,8670,1,1,0,BUFFER_MINIMO,1
724481,TELMINEST 80 COMP. CAJA X 40,1,82650,0,1,0,CRITICO,1
724567,TEMLOSAL 50 COMP. REC. CAJA X 100,2,6500,12,2,0,OK,0
725074,LIPAREX 40 COMP. REC. CUADRIC. CAJA X 100,1,15200,6,1,0,OK,0
725406,DOLGENAL 20 COMP.(NUEVO) CAJA X 30,2,14570,3,2,0,OK,0
725440,TENSIONAL 3 D COMP. REC. CAJA X 28,1,128160,0,1,0,CRITICO,1
726072,ACEMUK GRIP COMP. REC. CAJA X  25blister,1,8732,11,1,0,OK,0
726539,ETIFLUGEL NARANJA SUSP. CAJA X 1 FCO. X 240 M,1,28600,0,1,0,CRITICO,1
